"filename", "language", "EditorConfig", "Ignore", "JavaScript", "JSON", "Markdown", "TypeScript", "Less", "XML", "TypeScript React", "HTML", "comment", "blank", "total"
"f:\毕业设计\TeachingManagement_font-end_umi\.editorconfig", "EditorConfig", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"f:\毕业设计\TeachingManagement_font-end_umi\.eslintignore", "Ignore", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\毕业设计\TeachingManagement_font-end_umi\.eslintrc.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\毕业设计\TeachingManagement_font-end_umi\.prettierrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\毕业设计\TeachingManagement_font-end_umi\.stylelintrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\毕业设计\TeachingManagement_font-end_umi\README.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 22, 58
"f:\毕业设计\TeachingManagement_font-end_umi\config\config.ts", "TypeScript", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 4, 5, 261
"f:\毕业设计\TeachingManagement_font-end_umi\config\defaultSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 25, 4, 61
"f:\毕业设计\TeachingManagement_font-end_umi\config\plugin.config.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 4, 7, 66
"f:\毕业设计\TeachingManagement_font-end_umi\config\proxy.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 7, 1, 31
"f:\毕业设计\TeachingManagement_font-end_umi\jest.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\毕业设计\TeachingManagement_font-end_umi\jsconfig.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 0, 11
"f:\毕业设计\TeachingManagement_font-end_umi\package.json", "JSON", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 18, 1, 134
"f:\毕业设计\TeachingManagement_font-end_umi\public\pro_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\毕业设计\TeachingManagement_font-end_umi\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\Authorized.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\AuthorizedRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\CheckPermissions.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 16, 6, 84
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\PromiseRender.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 6, 10, 94
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\Secured.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 28, 6, 67
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\renderAuthorize.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 3, 31
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\GlobalHeader\AvatarDropdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 10, 88
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\GlobalHeader\NoticeIconView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 14, 20, 172
