Date : 2020-06-09 23:47:19
Directory : f:\毕业设计\TeachingManagement_font-end_umi
Total : 247 files,  17499 codes, 536 comments, 1791 blanks, all 19826 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |        101 |      9,790 |        326 |      1,013 |     11,129 |
| TypeScript       |         70 |      3,577 |        116 |        402 |      4,095 |
| Less             |         57 |      3,518 |         13 |        296 |      3,827 |
| HTML             |          1 |        199 |          0 |         16 |        215 |
| JavaScript       |          9 |        196 |         52 |         36 |        284 |
| JSON             |          4 |        165 |         28 |          2 |        195 |
| Markdown         |          1 |         36 |          0 |         22 |         58 |
| EditorConfig     |          1 |         12 |          1 |          4 |         17 |
| Ignore           |          1 |          4 |          0 |          0 |          4 |
| XML              |          2 |          2 |          0 |          0 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        247 |     17,499 |        536 |      1,791 |     19,826 |
| config                                                                                                          |          4 |        362 |         40 |         17 |        419 |
| public                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                             |        228 |     16,780 |        444 |      1,718 |     18,942 |
| src\assets                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                  |         22 |      1,222 |         84 |        145 |      1,451 |
| src\components\Authorized                                                                                       |          7 |        262 |         56 |         40 |        358 |
| src\components\GlobalHeader                                                                                     |          4 |        382 |         25 |         44 |        451 |
| src\components\HeaderDropdown                                                                                   |          2 |         29 |          0 |          8 |         37 |
| src\components\HeaderSearch                                                                                     |          2 |        125 |          0 |         12 |        137 |
| src\components\NoticeIcon                                                                                       |          4 |        357 |          1 |         30 |        388 |
| src\components\PageLoading                                                                                      |          1 |          2 |          2 |          2 |          6 |
| src\components\SelectWriting                                                                                    |          2 |         65 |          0 |          9 |         74 |
| src\layouts                                                                                                     |          5 |        330 |         30 |         38 |        398 |
| src\models                                                                                                      |          5 |        347 |          5 |         42 |        394 |
| src\pages                                                                                                       |        182 |     14,442 |        253 |      1,418 |     16,113 |
| src\pages\account                                                                                               |         23 |      1,604 |         21 |        169 |      1,794 |
| src\pages\account\center                                                                                        |         13 |        863 |         19 |         95 |        977 |
| src\pages\account\center\components                                                                             |          8 |        375 |         14 |         47 |        436 |
| src\pages\account\center\components\ArticleListContent                                                          |          2 |         65 |          0 |          6 |         71 |
| src\pages\account\center\components\Articles                                                                    |          2 |         89 |         14 |         10 |        113 |
| src\pages\account\center\components\AvatarList                                                                  |          2 |        116 |          0 |         21 |        137 |
| src\pages\account\center\components\Projects                                                                    |          2 |        105 |          0 |         10 |        115 |
| src\pages\account\settings                                                                                      |         10 |        741 |          2 |         74 |        817 |
| src\pages\account\settings\components                                                                           |          5 |        378 |          0 |         31 |        409 |
| src\pages\admin                                                                                                 |         23 |      2,192 |         32 |        181 |      2,405 |
| src\pages\admin\group                                                                                           |          5 |        371 |          2 |         32 |        405 |
| src\pages\admin\project                                                                                         |          7 |        744 |         11 |         59 |        814 |
| src\pages\admin\project\components                                                                              |          1 |        124 |          1 |          9 |        134 |
| src\pages\admin\project\utils                                                                                   |          1 |         46 |          2 |          3 |         51 |
| src\pages\admin\task                                                                                            |         11 |      1,077 |         19 |         90 |      1,186 |
| src\pages\admin\task\components                                                                                 |          1 |        120 |          0 |         11 |        131 |
| src\pages\admin\task\overview                                                                                   |          5 |        379 |          0 |         30 |        409 |
| src\pages\article                                                                                               |         15 |        905 |         76 |         89 |      1,070 |
| src\pages\article\list                                                                                          |         11 |        660 |         75 |         67 |        802 |
| src\pages\article\list\components                                                                               |          6 |        384 |          0 |         42 |        426 |
| src\pages\article\list\components\ArticleListContent                                                            |          2 |         73 |          0 |          7 |         80 |
| src\pages\article\list\components\StandardFormRow                                                               |          2 |        119 |          0 |         10 |        129 |
| src\pages\article\list\components\TagSelect                                                                     |          2 |        192 |          0 |         25 |        217 |
| src\pages\dashboard                                                                                             |         73 |      6,544 |         42 |        637 |      7,223 |
| src\pages\dashboard\analysis                                                                                    |         42 |      3,313 |         21 |        333 |      3,667 |
| src\pages\dashboard\analysis\components                                                                         |         33 |      2,531 |         15 |        247 |      2,793 |
| src\pages\dashboard\analysis\components\Charts                                                                  |         23 |      1,753 |         13 |        208 |      1,974 |
| src\pages\dashboard\analysis\components\Charts\Bar                                                              |          1 |        116 |          0 |         18 |        134 |
| src\pages\dashboard\analysis\components\Charts\ChartCard                                                        |          2 |        165 |          0 |          9 |        174 |
| src\pages\dashboard\analysis\components\Charts\Field                                                            |          2 |         30 |          0 |          6 |         36 |
| src\pages\dashboard\analysis\components\Charts\Gauge                                                            |          1 |        171 |          0 |          9 |        180 |
| src\pages\dashboard\analysis\components\Charts\MiniArea                                                         |          1 |        121 |          0 |         10 |        131 |
| src\pages\dashboard\analysis\components\Charts\MiniBar                                                          |          1 |         45 |          1 |          9 |         55 |
| src\pages\dashboard\analysis\components\Charts\MiniProgress                                                     |          2 |         74 |          0 |          6 |         80 |
| src\pages\dashboard\analysis\components\Charts\Pie                                                              |          2 |        362 |          5 |         38 |        405 |
| src\pages\dashboard\analysis\components\Charts\TagCloud                                                         |          2 |        187 |          3 |         30 |        220 |
| src\pages\dashboard\analysis\components\Charts\TimelineChart                                                    |          2 |        123 |          0 |         16 |        139 |
| src\pages\dashboard\analysis\components\Charts\WaterWave                                                        |          2 |        227 |          4 |         35 |        266 |
| src\pages\dashboard\analysis\components\NumberInfo                                                              |          2 |        127 |          0 |          5 |        132 |
| src\pages\dashboard\analysis\components\PageLoading                                                             |          1 |          7 |          2 |          2 |         11 |
| src\pages\dashboard\analysis\components\Trend                                                                   |          2 |         72 |          0 |          9 |         81 |
| src\pages\dashboard\analysis\utils                                                                              |          3 |        115 |          5 |         20 |        140 |
| src\pages\dashboard\monitor                                                                                     |         20 |      1,736 |         15 |        191 |      1,942 |
| src\pages\dashboard\monitor\components                                                                          |         14 |      1,458 |         15 |        167 |      1,640 |
| src\pages\dashboard\monitor\components\ActiveChart                                                              |          2 |        145 |          0 |         15 |        160 |
| src\pages\dashboard\monitor\components\Charts                                                                   |         12 |      1,313 |         15 |        152 |      1,480 |
| src\pages\dashboard\monitor\components\Charts\Gauge                                                             |          1 |        171 |          0 |         10 |        181 |
| src\pages\dashboard\monitor\components\Charts\Map                                                               |          1 |        138 |          2 |         11 |        151 |
| src\pages\dashboard\monitor\components\Charts\MiniArea                                                          |          1 |        121 |          0 |         10 |        131 |
| src\pages\dashboard\monitor\components\Charts\Pie                                                               |          2 |        362 |          6 |         38 |        406 |
| src\pages\dashboard\monitor\components\Charts\TagCloud                                                          |          2 |        187 |          3 |         29 |        219 |
| src\pages\dashboard\monitor\components\Charts\WaterWave                                                         |          2 |        227 |          4 |         35 |        266 |
| src\pages\dashboard\workplace                                                                                   |         11 |      1,495 |          6 |        113 |      1,614 |
| src\pages\dashboard\workplace\components                                                                        |          5 |        360 |          3 |         49 |        412 |
| src\pages\dashboard\workplace\components\EditableLinkGroup                                                      |          2 |         56 |          0 |          9 |         65 |
| src\pages\dashboard\workplace\components\Radar                                                                  |          3 |        304 |          3 |         40 |        347 |
| src\pages\resource                                                                                              |          8 |        604 |          8 |         69 |        681 |
| src\pages\resource\components                                                                                   |          1 |         96 |          0 |         10 |        106 |
| src\pages\resource\utils                                                                                        |          1 |         46 |          2 |          3 |         51 |
| src\pages\task                                                                                                  |         12 |        955 |          5 |         88 |      1,048 |
| src\pages\task\detail                                                                                           |          7 |        574 |          5 |         53 |        632 |
| src\pages\task\detail\components                                                                                |          2 |        126 |          3 |         16 |        145 |
| src\pages\task\list                                                                                             |          5 |        381 |          0 |         35 |        416 |
| src\pages\user                                                                                                  |         18 |      1,132 |         64 |        138 |      1,334 |
| src\pages\user\login                                                                                            |         12 |        687 |         40 |         83 |        810 |
| src\pages\user\login\components                                                                                 |          7 |        439 |          4 |         52 |        495 |
| src\pages\user\login\components\Login                                                                           |          7 |        439 |          4 |         52 |        495 |
| src\pages\user\login\utils                                                                                      |          1 |         15 |          3 |          4 |         22 |
| src\pages\user\register                                                                                         |          4 |        394 |         24 |         50 |        468 |
| src\pages\user\register-result                                                                                  |          2 |         51 |          0 |          5 |         56 |
| src\pages\writing                                                                                               |          4 |        161 |          5 |         17 |        183 |
| src\pages\writing\article                                                                                       |          4 |        161 |          5 |         17 |        183 |
| src\services                                                                                                    |          2 |         26 |          0 |          8 |         34 |
| src\utils                                                                                                       |          6 |        206 |         37 |         32 |        275 |
| tests                                                                                                           |          4 |        136 |         23 |         23 |        182 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                        | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| f:\毕业设计\TeachingManagement_font-end_umi\.editorconfig                                                           | EditorConfig     |         12 |          1 |          4 |         17 |
| f:\毕业设计\TeachingManagement_font-end_umi\.eslintignore                                                           | Ignore           |          4 |          0 |          0 |          4 |
| f:\毕业设计\TeachingManagement_font-end_umi\.eslintrc.js                                                            | JavaScript       |          8 |          0 |          1 |          9 |
| f:\毕业设计\TeachingManagement_font-end_umi\.prettierrc.js                                                          | JavaScript       |          4 |          0 |          2 |          6 |
| f:\毕业设计\TeachingManagement_font-end_umi\.stylelintrc.js                                                         | JavaScript       |          4 |          0 |          2 |          6 |
| f:\毕业设计\TeachingManagement_font-end_umi\README.md                                                               | Markdown         |         36 |          0 |         22 |         58 |
| f:\毕业设计\TeachingManagement_font-end_umi\config\config.ts                                                        | TypeScript       |        252 |          4 |          5 |        261 |
| f:\毕业设计\TeachingManagement_font-end_umi\config\defaultSettings.ts                                               | TypeScript       |         32 |         25 |          4 |         61 |
| f:\毕业设计\TeachingManagement_font-end_umi\config\plugin.config.ts                                                 | TypeScript       |         55 |          4 |          7 |         66 |
| f:\毕业设计\TeachingManagement_font-end_umi\config\proxy.ts                                                         | TypeScript       |         23 |          7 |          1 |         31 |
| f:\毕业设计\TeachingManagement_font-end_umi\jest.config.js                                                          | JavaScript       |          9 |          0 |          1 |         10 |
| f:\毕业设计\TeachingManagement_font-end_umi\jsconfig.json                                                           | JSON             |          7 |          4 |          0 |         11 |
| f:\毕业设计\TeachingManagement_font-end_umi\package.json                                                            | JSON             |        115 |         18 |          1 |        134 |
| f:\毕业设计\TeachingManagement_font-end_umi\public\pro_icon.svg                                                     | XML              |          1 |          0 |          0 |          1 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\assets\logo.svg                                                     | XML              |          1 |          0 |          0 |          1 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\Authorized.tsx                                | TypeScript React |         30 |          0 |          6 |         36 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\AuthorizedRoute.tsx                           | TypeScript React |         29 |          0 |          5 |         34 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\CheckPermissions.tsx                          | TypeScript React |         62 |         16 |          6 |         84 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\PromiseRender.tsx                             | TypeScript React |         78 |          6 |         10 |         94 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\Secured.tsx                                   | TypeScript React |         33 |         28 |          6 |         67 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\index.tsx                                     | TypeScript React |          8 |          0 |          4 |         12 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\Authorized\renderAuthorize.ts                            | TypeScript       |         22 |          6 |          3 |         31 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\GlobalHeader\AvatarDropdown.tsx                          | TypeScript React |         78 |          0 |         10 |         88 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\GlobalHeader\NoticeIconView.tsx                          | TypeScript React |        138 |         14 |         20 |        172 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\GlobalHeader\RightContent.tsx                            | TypeScript React |         67 |         11 |          7 |         85 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\GlobalHeader\index.less                                  | Less             |         99 |          0 |          7 |        106 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\HeaderDropdown\index.less                                | Less             |         14 |          0 |          3 |         17 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\HeaderDropdown\index.tsx                                 | TypeScript React |         15 |          0 |          5 |         20 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\HeaderSearch\index.less                                  | Less             |         29 |          0 |          2 |         31 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\HeaderSearch\index.tsx                                   | TypeScript React |         96 |          0 |         10 |        106 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\NoticeIcon\NoticeList.less                               | Less             |         96 |          0 |          8 |        104 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\NoticeIcon\NoticeList.tsx                                | TypeScript React |        110 |          1 |          5 |        116 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\NoticeIcon\index.less                                    | Less             |         27 |          0 |          5 |         32 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\NoticeIcon\index.tsx                                     | TypeScript React |        124 |          0 |         12 |        136 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\PageLoading\index.tsx                                    | TypeScript React |          2 |          2 |          2 |          6 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\SelectWriting\index.less                                 | Less             |         22 |          0 |          3 |         25 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\components\SelectWriting\index.tsx                                  | TypeScript React |         43 |          0 |          6 |         49 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\global.less                                                         | Less             |         45 |          1 |          9 |         55 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\global.tsx                                                          | TypeScript React |         74 |          4 |         14 |         92 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\BasicLayout.tsx                                             | TypeScript React |        144 |         28 |         11 |        183 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\BlankLayout.tsx                                             | TypeScript React |          3 |          0 |          3 |          6 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\SecurityLayout.tsx                                          | TypeScript React |         49 |          2 |          7 |         58 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\UserLayout.less                                             | Less             |         61 |          0 |         11 |         72 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\UserLayout.tsx                                              | TypeScript React |         73 |          0 |          6 |         79 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\manifest.json                                                       | JSON             |         22 |          0 |          1 |         23 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\models\connect.d.ts                                                 | TypeScript       |         27 |          0 |          5 |         32 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\models\global.ts                                                    | TypeScript       |        125 |          1 |         13 |        139 |
